player1,player2,time,league_id
[],['2021 Round 3'],1599140291,46711
['2021 Round 1'],[],1599140270,46711
"['White, James']","['Hill, Taysom']",1599140197,46711
"['Crowder, Jamison', '2021 Round 2']","['Landry, Jarvis']",1599140137,46711
['2020 Round 3'],['2022 Round 3'],1597266338,46711
"['2020 Round 2', '2021 Round 2']","['Drake, Kenyan', 'Freeman, Devonta', 'Robinson, Allen', '2020 Round 2']",1596021469,46711
"['Taylor, Tyrod']","['Crowder, Jamison']",1598890803,35490
"['2021 Round 3', '2021 Round 4']",['4.01'],1588559881,35490
"['2021 Round 1', '2022 Round 1', '2022 Round 2']",['1.07'],1582865963,35490
"['Kamara, Alvin', '2021 Round 1']","['Stafford, Matthew', 'Hunt, Kareem', 'Golladay, Kenny']",1581712409,35490
"['Rivers, Philip']",['2021 Round 3'],1598814857,57794
['2021 Round 4'],"['Dunlap, Carlos']",1596136291,57794
['4.08'],"['4.11', '5.11', '2020 Round 5']",1595955683,57794
['2.14'],"['Odenigbo, Ifeadi', '5.08']",1595867610,57794
['4.09'],['2020 Round 4'],1595796083,57794
['1.01'],"['Stafford, Matthew', '3.14']",1595719334,57794
"['Howard, O.J.']","['Ross, John', '2021 Round 3']",1587664922,57794
"['Davis, Sean']","['Williamson, Avery']",1594325865,23610
['2021 Round 8'],['8.31'],1593722708,23610
"['Ogunjobi, Larry']","['Vernon, Olivier']",1593705367,23610
['2021 Round 4'],['5.24'],1593304567,23610
"['3.21', '4.13']","['3.15', '4.31']",1592968663,23610
['3.16'],"['Reynolds, Josh']",1592965078,23610
"['2.23', '4.30']","['2.27', '3.31']",1592855186,23610
"['McKinney, Benardrick', '2021 Round 2', '2021 Round 3']",['2.21'],1592849165,23610
['2021 Round 1'],['2.17'],1592826680,23610
"['2.12', '4.04']",['2.03'],1592761728,23610
"['2021 Round 1', '2021 Round 3']",['2.02'],1592758384,23610
"['2021 Round 2', '2021 Round 3']","['Baker, Budda']",1592704453,23610
"['2.03', '3.19']","['1.30', '6.15']",1592689373,23610
['1.40'],"['Williams, Mike']",1592677766,23610
"['1.26', '2.26']",['1.19'],1592661809,23610
['1.05'],"['Mahomes, Patrick']",1592613139,23610
['1.04'],[],1592581970,23610
"['1.17', '1.30']",[],1592581937,23610
['1.14'],[],1592581905,23610
['1.06'],[],1592581746,23610
"['1.03', '1.05', '1.23']",[],1592581703,23610
['1.08'],[],1592581651,23610
"['1.19', '1.20']",[],1592581619,23610
"['1.13', '1.21', '1.35']",[],1592581587,23610
"['1.11', '1.16']",[],1592581551,23610
['1.04'],[],1592581498,23610
"['1.06', '1.14']",[],1592581462,23610
"['1.05', '1.13']",[],1592581426,23610
"['1.20', '1.30']",[],1592581361,23610
['1.17'],[],1592581296,23610
['1.35'],[],1592581262,23610
"['1.08', '1.16']",[],1592581228,23610
['1.19'],[],1592581193,23610
['1.23'],[],1592581157,23610
['1.21'],[],1592581120,23610
"['1.03', '1.11']",[],1592581076,23610
['3.07'],['3.31'],1581027733,23610
['3.29'],['3.05'],1581027610,23610
['3.26'],['3.02'],1581027514,23610
['1.12'],[],1581027309,23610
['1.07'],['1.15'],1581027167,23610
['1.04'],[],1581027005,23610
"['Cousins, Kirk', 'Engram, Evan', '2021 Round 2']","['Roethlisberger, Ben', 'Kelce, Travis']",1590413852,41507
['2021 Round 4'],"['Taylor, Tyrod']",1589136286,41507
['2021 Round 3'],['4.07'],1589073050,41507
"['Tate, Golden', '2021 Round 5']",['4.06'],1589071842,41507
['4.07'],"['Brown, Antonio', '5.04']",1589064694,41507
"['Brate, Cameron']",['3.08'],1589061812,41507
"['Gordon, Melvin', '3.04']","['Gurley, Todd']",1588996121,41507
"['Cooper, Amari']","['Robinson, Allen', '3.03']",1588986209,41507
['1.03'],"['1.05', '2.03']",1588901063,41507
"['Brown, Antonio', '2021 Round 3']","['2021 Round 2', '2022 Round 2']",1593915919,78150
"['4.07', '4.14']",['4.03'],1593829995,78150
"['Murray, Latavius', 'Edelman, Julian']","['Samuel, Curtis', '2.14']",1593732667,78150
"['Garoppolo, Jimmy', '2021 Round 3']",['2.08'],1593711925,78150
"['Thielen, Adam', '2021 Round 2']","['2.04', '2021 Round 3']",1593670976,78150
['1.07'],"['1.10', '2.10']",1593656613,78150
"['Brees, Drew', '2.02']","['Rodgers, Aaron']",1593625956,78150
"['Eifert, Tyler', '1.02', '3.10', '4.04']","['1.04', '3.04', '2021 Round 2']",1593624813,78150
['1.06'],"['2.02', '3.03']",1593118276,78150
"['Mack, Marlon', '2.04', '3.01', '2021 Round 2', '2021 Round 3']",['1.06'],1591734502,78150
"['Ryan, Matt', '2.06']","['Landry, Jarvis', '2.04']",1593996086,30404
['2021 Round 2'],"['Green, A.J.']",1599363476,79217
"['Williams, Mike', '2021 Round 2', '2022 Round 2']","['Woods, Robert', '2021 Round 3', '2022 Round 3']",1599302512,79217
"['2021 Round 2', '2022 Round 2']",['2.12'],1593941201,79217
"['2.10', '3.10', '4.04']",['2.05'],1593931893,79217
"['2.05', '3.12']","['2.04', '4.09']",1593929467,79217
['2021 Round 1'],['1.13'],1593923670,79217
"['Diggs, Stefon', '1.11']",['2021 Round 1'],1592003204,79217
"['Ertz, Zach']",['2021 Round 1'],1590795858,79217
"['1.08', '2.08', '3.11', '2021 Round 1', '2021 Round 4']","['Watson, Deshaun']",1586315154,79217
"['Anderson, Robby']",['2022 Round 2'],1585547045,79217
['2021 Round 3'],"['4.01', '4.02']",1594447651,18783
"['2021 Round 2', '2021 Round 3']",['2.10'],1594360433,18783
